Run_Start,Run_End,Bunch_Spacing,Coin_Offset,nSkip,nWindows,Pion_Prompt_Peak,Kaon_Prompt_Peak,Proton_Prompt_Peak,RF_Offset,PiRFLow,PiRFHigh,KRFLow,KRFHigh,pRFLow,pRFHigh
5079,5079,4.008,0.25,2,6,0,0.13,-0.15,-1.29,1.5,2.5,0.75,1.75,0,0.75
5080,5080,4.008,0.25,2,6,0,0.11,0.15,-1.29,1.5,2.5,0.75,1.75,0,0.75
5081,5081,4.008,0.25,2,6,0,0.04,0.17,-1.29,1.5,2.5,0.75,1.75,0,0.75
5082,5082,4.008,0.25,2,6,0,0.13,0.02,-1.29,1.5,2.5,0.75,1.75,0,0.75
5083,5083,4.008,0.25,2,6,0,0.11,-0.15,-1.29,1.5,2.5,0.75,1.75,0,0.75
5084,5084,4.008,0.25,2,6,0,0.12,0.01,-1.29,1.5,2.5,0.75,1.75,0,0.75
5085,5085,4.008,0.25,2,6,0,0.17,0.3,-1.29,1.5,2.5,0.75,1.75,0,0.75
5086,5086,4.008,0.25,2,6,0,0.13,0.28,-1.29,1.5,2.5,0.75,1.75,0,0.75
5089,5089,4.008,0.25,2,6,0,0.06,0.21,-1.29,1.5,2.5,0.75,1.75,0,0.75
5090,5090,4.008,0.25,2,6,0,0.13,0.19,-1.29,1.5,2.5,0.75,1.75,0,0.75
5091,5091,4.008,0.25,2,6,0,0.11,0.26,-1.29,1.5,2.5,0.75,1.75,0,0.75
5092,5092,4.008,0.25,2,6,0,0.1,0.13,-1.29,1.5,2.5,0.75,1.75,0,0.75
5093,5093,4.008,0.25,2,6,0,0.11,0.23,-1.29,1.5,2.5,0.75,1.75,0,0.75
5094,5094,4.008,0.25,2,6,0,0.07,0.06,-1.29,1.5,2.5,0.75,1.75,0,0.75
5095,5095,4.008,0.25,2,6,0,0.05,0.02,-1.29,1.5,2.5,0.75,1.75,0,0.75
5096,5096,4.008,0.25,2,6,0,0.09,0.13,-1.29,1.5,2.5,0.75,1.75,0,0.75
5097,5097,4.008,0.25,2,6,0,0.04,0.27,-1.29,1.5,2.5,0.75,1.75,0,0.75
