Physics_Setting,tbin_number,t_min,t_max,phibin_number,phi_min,phi_max,Counts,simc_yield,simc_yield_error,%error/yield
Q3p85_W2p62_t0p21_higheps_right,1,0.16,0.236,9,192,216,1123.0,0.7390470894653165,0.02223116339170075,3.0080848309387815
Q3p85_W2p62_t0p21_higheps_right,1,0.16,0.236,10,216,240,970.0,0.6507510109703734,0.021055079929297088,3.2355047590169104
Q3p85_W2p62_t0p21_higheps_right,1,0.16,0.236,11,240,264,829.0,0.5632925864601845,0.019700787012792646,3.497434101981593
Q3p85_W2p62_t0p21_higheps_right,1,0.16,0.236,12,264,288,376.0,0.2671120054014353,0.013858569095724197,5.188298846731556
Q3p85_W2p62_t0p21_higheps_right,1,0.16,0.236,13,288,312,57.0,0.0441285782468074,0.005868901255223005,13.299547568468528
Q3p85_W2p62_t0p21_higheps_right,1,0.16,0.236,14,312,336,28.0,0.02287935535942375,0.004331924793570345,18.93377119030617
Q3p85_W2p62_t0p21_higheps_right,1,0.16,0.236,15,336,360,15.0,0.011668509617687355,0.0030174453901674965,25.859732639664575
Q3p85_W2p62_t0p21_higheps_right,2,0.236,0.272,1,0,24,1.0,0.0010198156735724399,0.0010198156735724399,100.0
Q3p85_W2p62_t0p21_higheps_right,2,0.236,0.272,2,24,48,2.0,0.0017409210609306077,0.001231459192614043,70.73607300469831
Q3p85_W2p62_t0p21_higheps_right,2,0.236,0.272,3,48,72,5.0,0.00398181418815107,0.0017891573101911867,44.93321952378623
Q3p85_W2p62_t0p21_higheps_right,2,0.236,0.272,4,72,96,112.0,0.067282191909344,0.006441538966225425,9.573913666345403
Q3p85_W2p62_t0p21_higheps_right,2,0.236,0.272,5,96,120,607.0,0.3351861796697187,0.01369325694251735,4.085268955900935
Q3p85_W2p62_t0p21_higheps_right,2,0.236,0.272,6,120,144,1026.0,0.5535232039183621,0.0173745275824143,3.1388977841255654
Q3p85_W2p62_t0p21_higheps_right,2,0.236,0.272,7,144,168,1114.0,0.5919546935140284,0.01783808024655351,3.0134198515533477
Q3p85_W2p62_t0p21_higheps_right,2,0.236,0.272,8,168,192,1117.0,0.588131488863357,0.017716614662277756,3.012356079848316
Q3p85_W2p62_t0p21_higheps_right,2,0.236,0.272,9,192,216,1016.0,0.5350727491594529,0.016885937640440097,3.1558208985537495
Q3p85_W2p62_t0p21_higheps_right,2,0.236,0.272,10,216,240,884.0,0.47942491988928254,0.016216955766119735,3.382585070852147
